[ 2025-08-07 12:00:55,417 ] 15 root - INFO - Initiate the data ingestion
[ 2025-08-07 12:00:58,245 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-07 12:00:58,246 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-07 12:00:58,246 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-07 12:00:58,341 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-07 12:00:58,341 ] 17 root - INFO - Data Initiation Completed
[ 2025-08-07 12:00:58,351 ] 21 root - INFO - Initiate the data Validation
[ 2025-08-07 12:00:58,435 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 12:00:58,435 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 12:00:58,444 ] 32 root - INFO - Required number of columns:2
[ 2025-08-07 12:00:58,444 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-07 12:00:58,707 ] 23 root - INFO - data Validation Completed
[ 2025-08-07 12:00:58,708 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-07 12:00:58,708 ] 65 root - INFO - Starting data transformation
[ 2025-08-07 12:00:58,751 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-07 12:00:58,751 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-07 12:00:58,767 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-07 12:00:58,771 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-07 12:00:58,772 ] 29 root - INFO - data transformation completed
